	pielou_evenness
FMT.0093C	0.3869022303250751
FMT.0093D	0.6820394577812
FMT.0093E	0.6924498709656719
FMT.0093F	0.6606410731820178
FMT.0093P	0.49133984573657896
FMT.0093Q	0.44822443226630415
FMT.0093S	0.5115234667895718
FMT.0093T	0.33813762044499174
FMT.0093U	0.06745025171444467
FMT.0093V	0.30108880114856995
FMT.0093W	0.27661047516416476
