	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235
count	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	9395.0	8792.0	8101.0	5478.0	3442.0	2483.0	423.0	52.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0
2%	27.0	31.0	25.0	31.0	25.0	26.0	25.0	22.0	26.0	31.0	27.0	22.0	21.0	22.0	23.980000000000018	22.0	27.0	27.0	24.0	27.0	27.0	27.0	27.0	27.0	23.0	24.0	27.0	31.0	27.0	31.0	32.0	31.0	32.0	27.0	25.0	27.0	27.0	25.0	25.0	25.0	23.0	22.0	27.0	27.0	27.0	27.0	27.0	24.0	27.0	27.0	28.0	24.980000000000018	24.0	27.0	27.0	25.0	24.0	24.0	27.0	27.0	24.0	27.0	27.0	27.0	27.0	24.0	25.0	27.0	27.0	24.0	24.0	25.0	23.0	24.0	24.0	24.0	24.0	23.0	27.0	24.0	24.0	24.0	24.0	24.0	23.0	22.0	24.0	23.0	24.0	23.0	22.0	22.0	23.0	25.0	24.0	25.0	24.0	24.0	25.0	24.0	23.0	18.0	20.0	20.0	24.0	24.0	24.0	27.0	27.0	24.0	24.0	24.0	25.0	22.0	21.0	22.0	22.0	24.0	24.0	24.0	23.0	22.0	19.0	19.0	20.0	18.0	11.0	18.0	18.0	17.0	18.0	23.0	24.0	23.0	22.0	22.0	22.0	22.0	22.0	21.0	22.0	22.0	21.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	19.0	18.0	20.0	18.0	18.0	20.0	19.0	10.0	9.0	10.0	11.0	15.0	14.0	20.0	14.980000000000018	11.0	11.0	15.0	16.0	11.0	17.0	16.0	11.0	11.0	11.0	11.0	11.0	14.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	8.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	10.0	9.0	9.0	8.0	8.0	8.0	8.0	8.0	7.0	7.0	8.0	8.0	7.0	7.0	8.0	8.0	8.0	8.0	8.0	9.0	9.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	19.32	29.12	32.2	32.2	21.32	28.16	33.08	31.0	36.02	26.22	29.16	13.18
9%	36.0	37.0	36.0	36.0	36.0	36.0	36.0	35.0	36.0	36.0	36.0	34.0	34.0	34.0	36.0	35.0	36.0	36.0	36.0	36.0	36.0	37.0	36.0	36.0	35.0	36.0	36.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	34.0	36.0	36.0	37.0	37.0	37.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	37.0	36.0	37.0	37.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	35.0	36.0	36.0	35.0	35.0	35.0	36.0	35.0	36.0	35.0	35.0	35.0	34.0	34.0	35.0	34.0	35.0	35.0	34.0	34.0	35.0	36.0	35.0	35.0	35.0	35.0	35.0	36.0	35.0	34.0	34.0	34.0	34.0	35.0	34.0	36.0	36.0	35.0	35.0	35.0	35.0	34.0	33.0	34.0	34.0	35.0	34.0	35.0	34.0	34.0	34.0	33.0	34.0	33.0	31.0	32.0	32.0	32.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	35.0	34.0	35.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	31.0	34.0	33.0	34.0	34.0	34.0	29.0	25.0	25.0	29.0	30.0	31.0	32.90999999999997	30.0	27.0	28.0	30.0	30.0	30.0	31.0	31.0	30.0	27.0	30.0	29.0	28.0	28.0	23.0	23.0	23.0	21.0	23.0	22.0	20.0	20.0	22.0	23.0	21.0	22.0	23.0	22.0	21.0	23.0	23.0	25.0	25.0	24.0	20.0	20.0	20.0	20.0	20.0	19.0	17.0	17.0	19.0	18.0	16.0	13.0	12.0	17.0	17.909999999999968	18.0	19.0	17.0	19.0	15.0	17.0	15.0	9.0	17.379999999999995	14.0	8.0	20.44	29.54	32.9	32.9	22.44	28.72	33.36	31.0	36.09	26.99	29.72	13.81
25%	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	37.0	38.0	38.0	37.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	37.0	37.0	38.0	38.0	38.0	38.0	38.0	38.0	37.0	37.0	37.0	36.0	36.0	37.0	37.0	37.0	37.0	37.0	38.0	37.0	37.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	37.0	37.0	37.0	37.0	38.0	38.0	37.0	38.0	36.0	36.0	36.0	37.0	37.0	36.0	36.0	36.0	36.0	36.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	36.0	36.0	35.0	35.0	35.0	34.0	34.0	35.0	34.0	32.0	33.0	34.0	33.0	34.0	34.0	34.0	34.0	35.0	34.0	35.0	35.0	35.0	34.0	30.0	29.0	31.0	30.0	29.0	27.0	27.0	29.0	27.75	26.0	23.0	22.0	25.0	27.0	28.0	29.0	28.0	28.0	25.0	25.0	24.0	21.0	25.0	25.0	9.0	23.0	30.5	34.5	34.5	25.0	30.0	34.0	31.0	36.25	28.75	31.0	15.25
50%	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	37.0	36.0	36.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	34.0	32.0	33.0	35.0	37.0	37.0	37.0	37.0	36.0	35.0	34.0	34.0	36.0	37.0	17.0	27.0	32.0	37.0	37.0	29.0	32.0	35.0	31.0	36.5	31.5	33.0	17.5
75%	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	37.0	25.5	31.0	34.5	37.0	37.0	33.0	32.0	36.0	31.0	36.75	34.25	35.0	19.75
91%	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	34.0	33.56	36.1	37.0	37.0	35.56	32.0	36.64	31.0	36.91	36.01	36.28	21.19
98%	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	37.0	34.68	36.8	37.0	37.0	36.68	32.0	36.92	31.0	36.98	36.78	36.84	21.82
