	functools.partial(<function _simpsons_dominance at 0x7ea1ebc6a5f0>)
FMT.0093C	0.45376106124258553
FMT.0093D	0.8197862515838081
FMT.0093E	0.8498729453844165
FMT.0093F	0.8099419845246973
FMT.0093P	0.5606732868663801
FMT.0093Q	0.6081635088803498
FMT.0093S	0.6358639554317558
FMT.0093T	0.3234345227270645
FMT.0093U	0.03851202608712512
FMT.0093V	0.3627950622381836
FMT.0093W	0.37060732188893497
