	shannon_entropy
FMT.0093C	1.7501762098121176
FMT.0093D	2.9957337934349435
FMT.0093E	3.215637619392645
FMT.0093F	3.1759361148749914
FMT.0093P	1.9196110225559806
FMT.0093Q	1.9988262054941084
FMT.0093S	2.0908331629299273
FMT.0093T	0.9492723130890935
FMT.0093U	0.17435637134604237
FMT.0093V	0.845263127880861
FMT.0093W	0.8768344608837239
