	dominance
FMT.0093C	0.5462389387574145
FMT.0093D	0.18021374841619187
FMT.0093E	0.15012705461558357
FMT.0093F	0.19005801547530263
FMT.0093P	0.43932671313361993
FMT.0093Q	0.39183649111965024
FMT.0093S	0.3641360445682442
FMT.0093T	0.6765654772729355
FMT.0093U	0.9614879739128749
FMT.0093V	0.6372049377618164
FMT.0093W	0.629392678111065
